2024-12-24 14:07:35.922185000, Fcp, 596735, 1995, 15439, CPU, 04%, 00%, 00%, 00%, GPU, , MEM, 109704, 422016, N/A, IO, , , , , , , NET, , , , , HUG, 2584, 139, 102
2024-12-24 14:07:40.978539000, Fcp, 596740, 1995, 15439, CPU, 25%, 01%, 00%, 00%, GPU, , MEM, 109820, 422016, N/A, IO, , , , , , , NET, , , , , HUG, 2584, 139, 102
2024-12-24 14:08:03.206409000, Fcp, 596763, 1995, 15439, CPU, 10%, 00%, 00%, 00%, GPU, , MEM, 109820, 422016, N/A, IO, , , , , , , NET, , , , , HUG, 2585, 138, 102
2024-12-24 14:08:06.245355000, Fcp, 596766, 1995, 15439, CPU, 38%, 00%, 00%, 00%, GPU, , MEM, 109820, 422016, N/A, IO, , , , , , , NET, , , , , HUG, 2585, 139, 102
2024-12-24 14:08:07.249743000, Fcp, 596767, 1995, 15439, CPU, 08%, 00%, 00%, 00%, GPU, , MEM, 109820, 422016, N/A, IO, , , , , , , NET, , , , , HUG, 2585, 139, 102
2024-12-24 14:08:17.336646000, Fcp, 596777, 1995, 15439, CPU, 39%, 00%, 00%, 00%, GPU, , MEM, 109820, 422016, N/A, IO, , , , , , , NET, , , , , HUG, 2585, 139, 102
2024-12-24 14:08:19.364391000, Fcp, 596779, 1995, 15439, CPU, 18%, 00%, 00%, 00%, GPU, , MEM, 109716, 422016, N/A, IO, , , , , , , NET, , , , , HUG, 2585, 139, 102
2024-12-24 14:08:25.446680000, Fcp, 596785, 1995, 15439, CPU, 43%, 00%, 00%, 00%, GPU, , MEM, 109716, 422016, N/A, IO, , , , , , , NET, , , , , HUG, 2585, 138, 102
2024-12-24 14:08:26.453223000, Fcp, 596786, 1995, 15439, CPU, 17%, 00%, 00%, 00%, GPU, , MEM, 109716, 422016, N/A, IO, , , , , , , NET, , , , , HUG, 2585, 139, 102
2024-12-24 14:08:56.729795000, Fcp, 596816, 1995, 15439, CPU, 72%, 02%, 01%, 00%, GPU, , MEM, 109716, 422016, N/A, IO, , , , , , , NET, , , , , HUG, 2586, 139, 102
2024-12-24 14:08:58.756538000, Fcp, 596818, 1995, 15439, CPU, 43%, 01%, 00%, 00%, GPU, , MEM, 109716, 422016, N/A, IO, , , , , , , NET, , , , , HUG, 2586, 138, 102
2024-12-24 14:09:00.784783000, Fcp, 596820, 1995, 15439, CPU, 21%, 00%, 00%, 00%, GPU, , MEM, 109716, 422016, N/A, IO, , , , , , , NET, , , , , HUG, 2586, 138, 102
2024-12-24 14:09:03.815423000, Fcp, 596823, 1995, 15439, CPU, 21%, 00%, 00%, 00%, GPU, , MEM, 109716, 422016, N/A, IO, , , , , , , NET, , , , , HUG, 2587, 139, 102
