2024-10-22 08:49:27.235010000, Fcp, UpTime(s), BuffInfo Count, Buff KB, CPU, CPU Sys, CPU Proc, CPU Proc User, CPU Proc Kernel, GPU, GPU Load, MEM, Mem Work, Mem Virt, Managed Heap, IO, ReadOps Rate, ReadBytes Rate, Read Ticks Rate, WriteOps Rate, WriteBytes Rate, Write Ticks Rate, NET, RxBps1, TxBps1, RxBps2, TxBps2, HUG, Handles, USER objects, GDI Objects
2024-10-22 08:49:28.245471000, Fcp, 7, 0, 0, CPU, 02%, 00%, 00%, 00%, GPU, , MEM, 229644, 184852, N/A, IO, , , , , , , NET, , , , , HUG, 1119, 37, 41
2024-10-22 08:49:29.262128000, Fcp, 8, 0, 0, CPU, 04%, 02%, 01%, 00%, GPU, , MEM, 272676, 219116, N/A, IO, , , , , , , NET, , , , , HUG, 1165, 38, 43
2024-10-22 08:49:30.262795000, Fcp, 9, 35, 1038, CPU, 02%, 02%, 01%, 00%, GPU, , MEM, 304724, 236688, N/A, IO, , , , , , , NET, , , , , HUG, 1386, 50, 43
2024-10-22 08:49:31.267248000, Fcp, 10, 81, 1038, CPU, 05%, 02%, 01%, 00%, GPU, , MEM, 327512, 251740, N/A, IO, , , , , , , NET, , , , , HUG, 1427, 68, 77
2024-10-22 08:49:33.282903000, Fcp, 12, 85, 1046, CPU, 06%, 02%, 01%, 00%, GPU, , MEM, 385392, 294136, N/A, IO, , , , , , , NET, , , , , HUG, 1722, 88, 77
2024-10-22 08:49:44.291670000, Fcp, 23, 88, 1046, CPU, 00%, 00%, 00%, 00%, GPU, , MEM, 374356, 278960, N/A, IO, , , , , , , NET, , , , , HUG, 1753, 89, 82
2024-10-22 08:49:53.299263000, Fcp, 32, 253, 2413, CPU, 10%, 07%, 06%, 01%, GPU, , MEM, 410604, 310020, N/A, IO, , , , , , , NET, , , , , HUG, 1819, 95, 77
2024-10-22 08:50:28.325841000, Fcp, 67, 457, 2499, CPU, 00%, 00%, 00%, 00%, GPU, , MEM, 410128, 302756, N/A, IO, , , , , , , NET, , , , , HUG, 1940, 95, 73
2024-10-22 08:51:28.707760000, Fcp, 128, 444, 2490, CPU, 00%, 00%, 00%, 00%, GPU, , MEM, 410568, 303500, N/A, IO, , , , , , , NET, , , , , HUG, 1905, 95, 73
2024-10-22 08:52:29.427540000, Fcp, 188, 443, 2489, CPU, 01%, 00%, 00%, 00%, GPU, , MEM, 415572, 309036, N/A, IO, , , , , , , NET, , , , , HUG, 1909, 95, 73
2024-10-22 08:53:30.164948000, Fcp, 249, 444, 2490, CPU, 06%, 00%, 00%, 00%, GPU, , MEM, 415472, 308684, N/A, IO, , , , , , , NET, , , , , HUG, 1896, 95, 73
2024-10-22 08:54:30.926087000, Fcp, 310, 457, 2499, CPU, 01%, 00%, 00%, 00%, GPU, , MEM, 416000, 308764, N/A, IO, , , , , , , NET, , , , , HUG, 1887, 94, 73
2024-10-22 08:55:31.876252000, Fcp, 371, 443, 2499, CPU, 03%, 00%, 00%, 00%, GPU, , MEM, 416128, 308768, N/A, IO, , , , , , , NET, , , , , HUG, 1891, 94, 73
2024-10-22 08:56:32.166619000, Fcp, 431, 443, 2499, CPU, 00%, 00%, 00%, 00%, GPU, , MEM, 416172, 309000, N/A, IO, , , , , , , NET, , , , , HUG, 1882, 94, 73
2024-10-22 08:57:32.729764000, Fcp, 492, 457, 2499, CPU, 00%, 00%, 00%, 00%, GPU, , MEM, 414584, 308792, N/A, IO, , , , , , , NET, , , , , HUG, 1874, 94, 73
2024-10-22 08:58:17.966281000, Fcp, 537, 457, 2499, CPU, 24%, 00%, 00%, 00%, GPU, , MEM, 414528, 308916, N/A, IO, , , , , , , NET, , , , , HUG, 1873, 95, 73
2024-10-22 08:58:21.051544000, Fcp, 540, 457, 2499, CPU, 83%, 03%, 02%, 01%, GPU, , MEM, 414152, 308476, N/A, IO, , , , , , , NET, , , , , HUG, 1873, 94, 73
2024-10-22 08:58:23.058950000, Fcp, 542, 457, 2499, CPU, 10%, 00%, 00%, 00%, GPU, , MEM, 414156, 308476, N/A, IO, , , , , , , NET, , , , , HUG, 1873, 95, 73
2024-10-22 08:58:33.135128000, Fcp, 552, 443, 2489, CPU, 07%, 00%, 00%, 00%, GPU, , MEM, 414184, 308476, N/A, IO, , , , , , , NET, , , , , HUG, 1874, 95, 73
2024-10-22 08:58:43.234358000, Fcp, 562, 457, 2499, CPU, 28%, 00%, 00%, 00%, GPU, , MEM, 414388, 308696, N/A, IO, , , , , , , NET, , , , , HUG, 1874, 95, 73
2024-10-22 08:58:45.249158000, Fcp, 564, 457, 2499, CPU, 66%, 01%, 00%, 00%, GPU, , MEM, 414388, 308696, N/A, IO, , , , , , , NET, , , , , HUG, 1874, 95, 73
2024-10-22 08:58:46.264727000, Fcp, 565, 457, 2499, CPU, 07%, 00%, 00%, 00%, GPU, , MEM, 414388, 308696, N/A, IO, , , , , , , NET, , , , , HUG, 1874, 95, 73
2024-10-22 08:58:51.299027000, Fcp, 570, 457, 2499, CPU, 30%, 00%, 00%, 00%, GPU, , MEM, 414392, 308696, N/A, IO, , , , , , , NET, , , , , HUG, 1875, 95, 73
