[2025-05-12 13:24:58,853] [45   ] [INFO ] [] - Scheduling next upgrade check: Delay
[2025-05-12 13:24:58,861] [45   ] [INFO ] [] - Next autoupgrade timer will fire after: 1.00:00:00
[2025-05-12 13:24:58,861] [45   ] [INFO ] [] - Checking for upgrade
[2025-05-12 13:24:58,861] [45   ] [INFO ] [] - .NET Version - installed 533320, expected: 528040
[2025-05-12 13:24:58,861] [45   ] [INFO ] [] - result: True
[2025-05-12 13:24:58,875] [45   ] [INFO ] [] - Checking for upgrades
[2025-05-12 13:24:58,875] [45   ] [INFO ] [] - Url used to upgrade: https://cdn07.boxcdn.net/BoxEditAutoupdate2.json
[2025-05-12 13:24:59,171] [45   ] [INFO ] [] - ### current version track name: 4.28.1
[2025-05-12 13:24:59,171] [45   ] [INFO ] [] - No custom track name in registry
[2025-05-12 13:24:59,171] [45   ] [WARN ] [] - Track 4.28.1 not found
[2025-05-12 13:24:59,171] [45   ] [INFO ] [] - Track default for upgrade found
[2025-05-12 13:24:59,171] [45   ] [INFO ] [] - RolloutID set to 61
[2025-05-12 13:24:59,171] [45   ] [INFO ] [] - Not upgrading because RolloutID is not in range
[2025-05-12 13:24:59,171] [45   ] [INFO ] [] - Check for updates returned None
[2025-05-12 13:24:59,171] [45   ] [INFO ] [] - Scheduling next upgrade check: Reset
[2025-05-12 13:24:59,171] [45   ] [INFO ] [] - Next autoupgrade timer will fire after: 05:02:00
