[2025-04-02 15:15:36,623] [1    ] [INFO ] [] - Attempt to acquire Single Instance Mutex
[2025-04-02 15:15:37,170] [1    ] [INFO ] [] - ========== Box Local Com Server v4.28.1.1163 ==========
[2025-04-02 15:15:37,178] [1    ] [INFO ] [] - Running as a per-user installation
[2025-04-02 15:15:37,768] [1    ] [INFO ] [] - LocalMachine RegistryKey not set
[2025-04-02 15:15:37,788] [1    ] [INFO ] [] - Starting server...
[2025-04-02 15:15:37,860] [1    ] [INFO ] [] - Server running. Listening to port 17223
[2025-04-02 15:15:37,872] [1    ] [INFO ] [] - Working with debug logging OFF
[2025-04-02 15:21:45,620] [10   ] [INFO ] [] - Accepted Origin
[2025-04-02 15:21:45,684] [10   ] [INFO ] [] - Handling status request
[2025-04-02 15:36:05,575] [1    ] [INFO ] [] - Attempt to acquire Single Instance Mutex
[2025-04-02 15:36:06,073] [1    ] [INFO ] [] - ========== Box Local Com Server v4.28.1.1163 ==========
[2025-04-02 15:36:06,075] [1    ] [INFO ] [] - Running as a per-user installation
[2025-04-02 15:36:06,808] [1    ] [INFO ] [] - LocalMachine RegistryKey not set
[2025-04-02 15:36:06,821] [1    ] [INFO ] [] - Starting server...
[2025-04-02 15:36:06,912] [1    ] [INFO ] [] - Server running. Listening to port 17223
[2025-04-02 15:36:06,958] [1    ] [INFO ] [] - Working with debug logging OFF
[2025-04-02 15:37:56,809] [15   ] [INFO ] [] - Accepted Origin
[2025-04-02 15:37:56,862] [15   ] [INFO ] [] - Handling status request
[2025-04-02 15:59:28,123] [1    ] [INFO ] [] - Attempt to acquire Single Instance Mutex
[2025-04-02 15:59:28,635] [1    ] [INFO ] [] - ========== Box Local Com Server v4.28.1.1163 ==========
[2025-04-02 15:59:28,637] [1    ] [INFO ] [] - Running as a per-user installation
[2025-04-02 15:59:29,321] [1    ] [INFO ] [] - LocalMachine RegistryKey not set
[2025-04-02 15:59:29,368] [1    ] [INFO ] [] - Starting server...
[2025-04-02 15:59:29,575] [1    ] [INFO ] [] - Server running. Listening to port 17223
[2025-04-02 15:59:29,598] [1    ] [INFO ] [] - Working with debug logging OFF
[2025-04-02 16:01:15,662] [14   ] [INFO ] [] - Accepted Origin
[2025-04-02 16:01:15,692] [14   ] [INFO ] [] - Handling status request
