[2024-11-11 08:01:54,991] [1    ] [INFO ] [] - ========== Box Local Com Server v4.26.1.1109 ==========
[2024-11-11 08:01:55,027] [1    ] [INFO ] [] - Running as a per-user installation
[2024-11-11 08:01:55,086] [1    ] [INFO ] [] - LocalMachine RegistryKey not set
[2024-11-11 08:01:55,086] [1    ] [INFO ] [] - Starting server...
[2024-11-11 08:01:55,086] [1    ] [INFO ] [] - Server running. Listening to port 17223
[2024-11-11 08:01:55,086] [1    ] [INFO ] [] - Working with debug logging OFF
[2024-11-11 08:04:15,809] [15   ] [INFO ] [] - Accepted Origin
[2024-11-11 08:04:15,820] [15   ] [INFO ] [] - Handling status request
[2024-11-11 12:46:31,920] [1    ] [INFO ] [] - ========== Box Local Com Server v4.26.1.1109 ==========
[2024-11-11 12:46:32,166] [1    ] [INFO ] [] - Running as a per-user installation
[2024-11-11 12:46:32,597] [1    ] [INFO ] [] - LocalMachine RegistryKey not set
[2024-11-11 12:46:32,607] [1    ] [INFO ] [] - Starting server...
[2024-11-11 12:46:32,650] [1    ] [INFO ] [] - Server running. Listening to port 17223
[2024-11-11 12:46:32,659] [1    ] [INFO ] [] - Working with debug logging OFF
